Province/State,Country/Region,First confirmed date in country (Est.),1/21/2020 10:00 PM,1/22/2020 12:00 PM,1/23/2020 12:00 PM,1/24/2020 12:00 AM,1/24/2020 12:00 PM,1/25/2020 12:00 AM,1/25/2020 12:00 PM,1/25/2020 10:00 PM,1/26/2020 11:00 AM,1/26/2020 11:00 PM,1/27/2020 9:00 AM,1/27/2020 7:00 PM,1/27/2020 8:30 PM,1/28/2020 1:00 PM,1/28/2020 6:00 PM,1/28/2020 11:00 PM,1/29/2020 1:30 PM,1/29/2020 2:30 PM,1/29/2020 9:00 PM,1/30/2020 11:00 AM,1/31/2020 2:00 PM,1/31/2020 7:00 PM,2/1/2020 10:00 AM,2/2/2020 9:00 PM
,Nepal,1/25/2020,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Malaysia,1/25/2020,,,,,,3,3,3,4,4,4,4,4,4,4,7,7,7,7,8,8,8,8,8
Ontario,Canada,1/26/2020,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3
British Columbia,Canada,1/28/2020,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
New South Wales,Australia,1/26/2020,,,,,,,,,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
Victoria,Australia,1/26/2020,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,4
Queensland,Australia,1/27/2020,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2
,Cambodia,1/27/2020,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Sri Lanka,1/27/2020,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
Bavaria,Germany,1/27/2020,,,,,,,,,,,,,1,1,4,4,4,4,4,4,5,7,7,10
,Finland,1/29/2020,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
,United Arab Emirates,1/29/2020,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,5
,Philippines,1/29/2020,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2
,India,1/29/2020,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2
,Italy,1/31/2020,,,,,,,,,,,,,,,,,,,,,2,2,2,2
,UK,1/31/2020,,,,,,,,,,,,,,,,,,,,,2,2,2,2
,Russia,1/31/2020,,,,,,,,,,,,,,,,,,,,,2,2,2,2
,Sweden,1/31/2020,,,,,,,,,,,,,,,,,,,,,1,1,1,1
,Spain,2/1/2020,,,,,,,,,,,,,,,,,,,,,,,1,1
South Australia,Australia,2/1/2020,,,,,,,,,,,,,,,,,,,,,,,2,2
"Boston, MA",US,2/2/2020,,,,,,,,,,,,,,,,,,,,,,,,1
